Episode,Tactual,Tension,EnemyCount
0,"","",""
0,"2.604086, 3.921561, 0.8377285","86.97957, 80.3922, 95.81136","2, 1, 0"
1,"5.661353, 2.881203, 4.39856","71.69324, 85.59399, 78.0072","2, 1, 0"
2,"2.020338, 7.581137, 0.5990334","89.89831, 62.09431, 97.00484","2, 1, 0"
3,"4.319626, 0.25914, 0.7809486, 9.039837","78.40187, 98.7043, 96.09526, 54.80082","3, 2, 1, 0"
4,"2.800083, 1.31889, 3.541157, 2.041447","85.99959, 93.40555, 82.29422, 89.79277","3, 2, 1, 0"
5,"1.418221, 1.800461","92.9089, 90.9977","3, 2"
6,"10.16965, 0.2990723","49.15173, 98.50464","1, 0"
